tt0113490,136,79,144,233,199,100,54,19,20,30
tt0117002,872,533,"1,392","2,790","3,775","2,890","1,417",690,385,430
tt0114825,974,348,899,"2,055","3,721","5,048","4,808","2,955","1,617","1,407"
tt0115639,"4,154","4,116","7,929","8,654","4,761","1,984",763,324,240,441
tt0115759,"3,561","2,926","9,936","22,954","29,533","16,771","7,231","3,203","1,745","1,721"
tt0113403,454,377,522,656,314,120,56,32,23,65
tt0113247,"31,226","41,904","54,656","27,513","8,722","3,570","1,639",993,794,"2,975"
tt0111173,209,110,223,413,538,559,313,184,114,192
tt0113283,61,51,115,210,158,90,46,20,16,54
tt0115907,852,605,"2,032","5,541","6,826","3,088","1,065",435,237,292
tt0115734,"6,785","6,943","17,085","25,055","13,363","4,623","1,792",845,455,749
tt0117102,342,89,179,346,415,622,771,671,600,"1,151"
tt0118040,256,207,501,"1,166","1,588",947,504,185,79,116
tt0116483,"23,655","21,045","47,900","68,999","36,672","14,748","6,187","3,206","1,936","2,397"
tt0112579,"12,843","13,144","22,819","18,607","7,833","3,328","1,394",831,570,"1,052"
tt0110251,203,208,265,256,116,64,21,24,22,24
tt0117110,"3,249","1,974","4,326","7,242","4,605","1,880",650,298,141,222
tt0112646,79,26,41,50,48,30,13,7,14,25
tt0113276,31,10,9,17,40,31,16,19,28,29
tt0112573,"258,005","265,005","271,414","139,438","49,943","21,003","9,847","6,018","4,332","9,761"
tt0075314,"171,250","206,912","233,406","127,767","46,809","18,705","8,188","4,727","3,255","6,138"
tt0113326,"3,313","2,460","7,356","14,246","9,443","3,556","1,233",497,279,491
tt0115645,459,262,809,"2,137","3,038","1,481",550,260,170,193
tt0113774,254,197,312,286,131,66,39,19,23,31
tt0112556,210,300,682,902,422,199,75,30,19,47
tt0112373,275,227,348,176,59,28,10,11,18,59
tt0115033,382,395,856,"1,068",525,224,76,39,35,56
tt0116606,283,137,257,448,642,802,523,356,212,540
tt0114536,100,22,65,88,134,214,185,89,56,75
tt0117427,253,77,217,405,687,758,393,216,93,141
tt0106473,390,244,460,349,167,75,27,21,19,47
tt0103859,"1,892",909,"2,269","4,292","6,675","6,623","3,642","1,825",854,809
tt0109424,"16,138","18,355","24,305","14,029","5,060","1,959",853,511,346,871
tt0114808,548,626,"1,387","1,618",596,218,79,44,39,58
tt0116324,"1,255","1,676","3,678","5,286","3,669","1,750",760,385,228,369
tt0110647,628,126,234,446,655,"1,036","1,512","1,927","1,737","4,237"
tt0111055,139,144,263,236,135,38,20,23,10,24
tt0110217,33,24,49,63,35,11,6,6,7,5
tt0114131,57,31,88,160,216,166,65,28,19,30
tt0112364,151,72,129,177,154,98,43,37,30,51
tt0113107,92,85,164,199,199,72,35,10,16,28
tt0113451,497,261,762,"1,718","2,745","3,137","1,849",864,563,593
tt0114015,128,55,94,84,53,23,20,14,9,11
tt0114500,33,26,38,21,19,13,5,2,1,6
tt0116130,"2,384","1,490","3,125","4,904","5,262","3,559","2,046","1,231",556,403
tt0113125,42,34,54,62,40,20,6,7,8,9
tt0113756,30,23,35,66,74,43,19,15,9,23
tt0113952,80,55,114,187,195,136,73,40,27,33
tt0114618,41,5,5,5,3,2,0,2,1,15
tt0118055,"1,229",776,"1,576","3,081","3,792","2,221",920,475,270,373
tt0115685,"11,008","9,739","20,290","25,192","13,318","5,507","2,464","1,221",741,"1,293"
tt0113200,108,13,16,23,27,32,22,25,20,143
tt0112585,506,571,"1,463","2,290","1,555",775,307,168,117,195
tt0112442,"18,842","17,381","51,018","92,171","52,413","18,882","7,415","3,307","1,937","2,851"
tt0112342,342,132,334,665,"1,069",881,404,176,98,116
tt0112461,"11,565","12,753","31,355","34,622","13,518","4,685","1,663",774,426,925
tt0112427,279,168,354,482,644,416,209,111,74,111
tt0109093,663,709,"1,339","1,572","1,073",459,263,123,89,154
tt0112384,"29,545","44,571","101,864","78,823","25,594","8,625","2,997","1,401",934,"1,562"
tt0114287,"3,200","3,583","8,953","14,061","8,135","3,144","1,077",479,296,452
tt0112288,876,776,"1,656","2,365","2,065","1,164",656,348,228,319
tt0112462,"9,453","4,907","15,211","37,390","63,123","58,586","31,640","16,576","8,825","8,290"
tt0061395,"6,058","7,357","14,005","10,155","4,196","1,685",713,357,222,484
tt0112495,481,356,816,"1,380","1,205",522,240,113,45,87
tt0112541,638,754,"1,782","2,849","1,906",907,403,168,110,177
tt0109370,"1,363",775,"1,824","3,246","3,996","2,773","1,295",746,403,828
tt0112642,"9,532","4,969","14,068","29,511","39,808","22,454","8,820","3,682","1,692","1,365"
tt0112688,"1,338","1,772","4,664","7,522","4,170","1,507",553,258,190,517
tt0112715,"2,030",853,"2,622","6,060","9,599","9,933","6,471","3,949","2,309","2,327"
tt0112740,"7,979","12,499","33,968","37,920","13,943","4,326","1,488",662,366,762
tt0109508,"3,720","4,230","6,174","3,553","1,390",611,290,167,120,287
tt0112851,"14,764","16,596","46,998","63,287","28,058","9,887","3,461","1,678",925,"1,386"
tt0112857,"1,245","1,309","3,810","6,797","4,749","1,781",642,236,152,275
tt0112864,"37,214","51,152","129,797","110,130","38,658","12,159","4,184","1,923","1,041","1,685"
tt0112887,"1,833","1,023","1,980","2,627","2,648","1,884","1,378",986,589,"1,336"
tt0113044,57,35,76,106,135,73,43,18,6,24
